Year,Actor,Movie,Gender,Birthyear,Age
1928,Janey Gaynor,Sunrise,Woman,1906,22
1928,Emil Jannings,"The Last Command, The Way of All Flesh",Man,1884,44
1929,Mary Pickford,Coquette,Woman,1892,37
1929,Warner Baxter,In Old Arizona,Man,1889,40
1930,Norma Shearer,The Divorcee,Woman,1902,28
1930,George Arliss,Disraeli,Man,1868,62
1931,Marie Dressler,Min and Bill,Woman,1868,63
1931,Lionel Barrymore,A Free Soul,Man,1878,53
1932,Helen Hayes,The Sin of Madelon Claudet,Woman,1900,32
1932,Wallace Beery,The Champ,Man,1885,47
1932,Frederick March,Dr. Jekyll and Mr. Hyde,Man,1897,35
1933,Katharine Hepburn,Morning Glory,Woman,1907,26
1933,Charles Laughton,The Private Life of Henry VIII,Man,1899,34
1934,Claudette Colbert,It Happened One Night,Woman,1903,31
1934,Clark Gable,It Happened One Night,Man,1901,33
1935,Bette Davis,Dangerous,Woman,1908,27
1935,Victor McLaglen,The Informer,Man,1886,49
1936,Luise Rainer,The Great Zeigfeld,Woman,1910,26
1936,Paul Muni,The Story of Louis Pasteur,Man,1895,41
1937,Luise Rainer,The Good Earth,Woman,1910,27
1937,Spencer Tracy,Captains Courageous,Man,1900,37
1938,Bette Davis,Jezebel,Woman,1908,30
1938,Spencer Tracy,Boys Town,Man,1900,38
1939,Vivien Leigh,Gone With the Wind,Woman,1913,26
1939,Robert Donat,Goodbye Mr. Chips,Man,1905,34
1940,Ginger Rogers,Kitty Foyle,Woman,1911,29
1940,James Stewart,The Philadelphia Story,Man,1908,32
1941,Joan Fontaine,Suspicion,Woman,1917,24
1941,Gary Cooper,Sergeant York,Man,1901,40
1942,Greer Garson,Mrs. Miniver,Woman,1904,38
1942,James Cagney,Yankee Doodle Dandy,Man,1899,43
1943,Jennifer Jones,The Song of Bernadette,Woman,1919,24
1943,Paul Lukas,Watch on the Rhine,Man,1891,52
1944,Ingrid Bergman,Gaslight,Woman,1915,29
1944,Bing Crosby,Going My Way,Man,1903,41
1945,Joan Crawford,Mildred Pierce,Woman,1906,39
1945,Ray Milland,The Lost Weekend,Man,1905,40
1946,Olivia de Havilland,To Each His Own,Woman,1916,30
1946,Frederick March,The Best Years of Our Lives,Man,1897,49
1947,Loretta Young,The Farmer’s Daughter,Woman,1913,34
1947,Ronald Colman,A Double Life,Man,1891,56
1948,Jane Wyman,Johnny Belinda,Woman,1917,31
1948,Lawrence Olivier,Hamlet,Man,1907,41
1949,Olivia de Havilland,The Heiress,Woman,1916,33
1949,Broderick Crawford,All The King's Men,Man,1911,38
1950,Judy Holliday,Born Yesterday,Woman,1921,29
1950,Jose Ferrer,Cyrano de Bergerac,Man,1909,41
1951,Vivien Leigh,A Streetcar Named Desire,Woman,1913,38
1951,Humphery Bogart,The African Queen,Man,1899,52
1952,Shirley Booth,"Com Back, Little Sheba",Woman,1898,54
1952,Gary Cooper,High Noon,Man,1901,51
1953,Audrey Hepburn,Roman Holiday,Woman,1929,24
1953,William Holden,Stalag 17,Man,1918,35
1954,Grace Kelly,The Country Girl,Woman,1929,25
1954,Marlon Brando,On the Waterfront,Man,1924,30
1955,Anna Magnani,The Rose Tattoo,Woman,1908,47
1955,Ernest Borgnine,Marty,Man,1917,38
1956,Ingrid Bergman,Anastasia,Woman,1915,41
1956,Yul Brynner,The King and I,Man,1920,36
1957,Joanne Woodward,The Three Faces of Eve,Woman,1930,27
1957,Alec Guinness,The Bridge on the River Kwai,Man,1914,43
1958,Susan Hayward,I Want to Live!,Woman,1917,41
1958,David Niven,Separate Tables,Man,1910,48
1959,Simone Signoret,Room at the Top,Woman,1921,38
1959,Charleton Heston,Ben Hur,Man,1924,35
1960,Elizabeth Taylor,Butterfield 8,Woman,1932,28
1960,Burt Lancaster,Elmer Gantry,Man,1913,47
1961,Sophia Loren,Two Women,Woman,1934,27
1961,Maximillian Schell,Judgment at Nuremburg,Man,1930,31
1962,Anne Bancroft,The Miracle Worker,Woman,1931,31
1962,Gregory Peck,To kill a mockingbird,Man,1916,46
1963,Patricia Neal,Hud,Woman,1926,37
1963,Sidney Poitier,Lilies of the field,Man,1927,36
1964,Julie Andrews,Mary Poppins,Woman,1935,29
1964,Rex Harrison,My fair lady,Man,1908,56
1965,Julie Christie,Darling,Woman,1941,24
1965,Lee Marvin,Cat Ballou,Man,1924,41
1966,Elizabeth Taylor,Who’s Afraid of Virginia Woolf?,Woman,1932,34
1966,Paul Scofield,A man for all seasons,Man,1922,44
1967,Katharine Hepburn,Guess Who’s Coming to Dinner,Woman,1907,60
1967,Rod Steiger,In the heat of the night,Man,1925,42
1968,Katharine Hepburn,The Lion in Winter,Woman,1907,61
1968,Barbra Streisand,Funny Girl,Woman,1942,26
1968,Cliff Robertson,Charly,Man,1925,43
1969,Maggie Smith,The Prime of Miss Jean Brodie,Woman,1934,35
1969,John Wayne,True Grit,Man,1907,62
1970,Glenda Jackson,Women In Love,Woman,1936,34
1970,George C. Scott,Patton,Man,1927,43
1971,Jane Fonda,Klute,Woman,1937,34
1971,Gene Hackman,The French Connection,Man,1930,41
1972,Liza Minnelli,Cabaret,Woman,1946,26
1972,Marlon Brando,The Godfather,Man,1924,48
1973,Glenda Jackson,A Touch of Class,Woman,1936,37
1973,Jack Lemmon,Save the Tiger,Man,1925,48
1974,Ellen Burstyn,Alice Doesn’t live Here Anymore,Woman,1932,42
1974,Art Carney,Harry and Tonto,Man,1918,56
1975,Louise Fletcher,One Flew Over The Cockoo’s Nest,Woman,1934,41
1975,Jack Nicholson,One Flew Over the Cukoo's Nest,Man,1937,38
1976,Faye Dunaway,Network,Woman,1941,35
1976,Peter Finch,Network,Man,1912,64
1977,Diane Keaton,Annie Hall,Woman,1946,31
1977,Richard Dreyfuss,The Goodbye Girl,Man,1947,30
1978,Jane Fonda,Coming Home,Woman,1937,41
1978,Jon Voight,Coming Home,Man,1938,40
1979,Sally Field,Norma Rae,Woman,1946,33
1979,Dustin Hoffman,Kramer vs. Kramer,Man,1937,42
1980,Sissy Spacek,Coal Miner’s Daughter,Woman,1949,31
1980,Robert De Niro,Raging Bull,Man,1943,37
1981,Katharine Hepburn,On Golden Pond,Woman,1907,74
1981,Henry Fonda,On Golden Pond,Man,1905,76
1982,Meryl Streep,Sophie’s Choice,Woman,1949,33
1982,Ben Kingsley,Ghandi,Man,1943,39
1983,Shirley MacLaine,Terms of Endearment,Woman,1934,49
1983,Robert Duvall,Tender Mercies,Man,1931,52
1984,Sally Field,Places in the Heart,Woman,1946,38
1984,F. Murray Abraham,Amadeus,Man,1939,45
1985,Geraldine Page,Trip to Bountiful,Woman,1924,61
1985,William Hurt,Kiss of the Spider Woman,Man,1950,35
1986,Marlee Matlin,Children of a Lesser God,Woman,1965,21
1986,Paul Newman,The Color of Money,Man,1925,61
1987,Cher,Moonstruck,Woman,1946,41
1987,Michael Douglas,Wall Street,Man,1944,43
