Date,Location,Outcome,Outcome2,Hits,Doubles,Homeruns,StrikeOuts
5-Apr,Home,Lose,0,4,2,0,6
7-Apr,Home,Lose,0,6,1,0,3
8-Apr,Home,Win,1,11,3,1,6
10-Apr,Away,Lose,0,7,2,1,3
11-Apr,Away,Win,1,15,3,1,6
12-Apr,Away,Win,1,13,3,2,4
13-Apr,Away,Win,1,10,3,3,7
16-Apr,Away,Lose,0,5,1,0,3
17-Apr,Home,Lose,0,14,3,1,5
18-Apr,Home,Lose,0,8,2,3,7
19-Apr,Home,Win,1,9,1,3,5
21-Apr,Home,Win,1,13,4,1,8
22-Apr,Home,Lose,0,8,0,1,4
23-Apr,Home,Lose,0,2,0,1,4
24-Apr,Away,Win,1,8,2,2,12
25-Apr,Away,Win,1,9,0,2,8
26-Apr,Away,Win,1,12,2,0,7
27-Apr,Home,Win,1,14,5,2,7
28-Apr,Home,Win,1,11,0,4,5
29-Apr,Home,Lose,0,7,0,1,8
1-May,Home,Lose,0,8,0,1,4
2-May,Home,Win,1,9,3,1,6
4-May,Away,Win,1,8,1,2,11
5-May,Away,Win,1,15,4,2,7
6-May,Away,Lose,0,3,2,0,11
7-May,Away,Lose,0,10,2,2,0
8-May,Home,Win,1,8,3,3,7
9-May,Home,Lose,0,5,2,2,8
10-May,Home,Lose,0,6,3,0,8
12-May,Home,Win,1,6,1,0,6
13-May,Home,Lose,0,5,2,2,9
14-May,Home,Lose,0,5,2,0,13
15-May,Away,Win,1,16,1,1,9
May 16 (1),Away,Win,1,14,2,3,5
May 16 (2),Away,Win,1,9,3,2,3
17-May,Away,Win,1,10,3,0,6
19-May,Away,Win,1,7,2,1,5
20-May,Away,Lose,0,4,3,1,10
21-May,Away,Win,1,14,5,4,11
22-May,Away,Win,1,14,0,4,9
23-May,Away,Lose,0,6,1,2,5
24-May,Away,Win,1,11,3,0,7
25-May,Home,Lose,0,6,2,2,8
26-May,Home,Win,1,10,5,0,4
27-May,Home,Lose,0,8,2,2,7
29-May,Home,Win,1,16,6,0,5
30-May,Home,Win,1,10,4,2,5
31-May,Home,Win,1,7,1,1,10
1-Jun,Away,Win,1,12,4,2,9
2-Jun,Away,Win,1,11,2,3,6
3-Jun,Away,Win,1,10,2,1,3
4-Jun,Away,Win,1,7,3,0,7
5-Jun,Away,Lose,0,11,2,0,8
6-Jun,Away,Lose,0,6,1,0,8
7-Jun,Away,Win,1,9,1,3,6
9-Jun,Away,Lose,0,10,1,4,4
10-Jun,Away,Win,1,9,0,2,3
11-Jun,Away,Win,1,9,2,1,9
12-Jun,Home,Lose,0,5,2,1,20
13-Jun,Home,Lose,0,13,2,3,8
14-Jun,Home,Win,1,14,3,1,9
16-Jun,Home,Lose,0,8,1,1,10
17-Jun,Home,Lose,0,6,0,1,12
